year,plot,tag,trt,clipping_exp,rosetteL,rosetteW,psurvival,psurvivalT1,pflower,pflowerT1,ros.area,ros.areaT1,log.ros.area,log.ros.areaT1,flow.sum,flow.sumT1,total.seeds,total.seedsT1,percapseeds,life_st
2023,2,1045,control,NA,7.5,2.5,1,NA,0,NA,14.72621556,NA,2.689629277,NA,0,NA,NA,NA,NA,V
2021,7,1046,drought,NA,12,3,1,NA,0,NA,28.27433388,NA,3.341954463,NA,0,0,NA,NA,NA,V
2022,7,1046,drought,NA,NA,NA,NA,1,NA,0,NA,31.41592654,NA,3.447314979,0,0,NA,NA,NA,NA
2023,7,1046,drought,NA,10,4,1,NA,0,NA,31.41592654,NA,3.447314979,NA,0,NA,NA,NA,NA,V
2019,2,1047,control,NA,7,3.5,1,1,0,0,19.242255,28.27433388,2.957108642,3.341954463,0,0,NA,NA,NA,V
2020,2,1047,control,NA,9,4,1,1,0,0,28.27433388,44.92477495,3.341954463,3.804989423,0,0,NA,NA,NA,V
2021,2,1047,control,NA,8.8,6.5,1,1,0,1,44.92477495,142.5497667,3.804989423,4.959691178,0,5,NA,53,NA,V
2022,2,1047,control,NA,16.5,11,1,1,1,1,142.5497667,65.97344573,4.959691178,4.189252324,5,4,53,41,10,F
2023,2,1047,control,NA,10.5,8,1,NA,1,NA,65.97344573,NA,4.189252324,NA,4,NA,41,NA,10,F
2018,9,1048,irrigated,NA,11,9,1,0,0,0,77.75441818,NA,4.353555375,NA,0,0,NA,NA,NA,V
2019,9,1048,irrigated,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,dead
2020,9,1048,irrigated,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,dead
2021,9,1048,irrigated,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,dead
2022,9,1048,irrigated,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,dead
2019,7,1049,drought,NA,4,1.5,1,0,0,0,4.71238898,NA,1.550194994,NA,0,0,NA,NA,NA,V
2020,7,1049,drought,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,dead
2021,7,1049,drought,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,dead
2022,7,1049,drought,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,dead
2017,11,105,control,NA,14.5,11,1,1,0,1,125.2710071,141.3716694,4.830479447,4.951392376,0,3,NA,NA,NA,V
2018,11,105,control,NA,15,12,1,1,1,0,141.3716694,72.25663103,4.951392376,4.280224102,3,0,NA,NA,NA,F
2019,11,105,control,NA,11.5,8,1,NA,0,NA,72.25663103,NA,4.280224102,NA,0,0,NA,NA,NA,V
2020,11,105,control,NA,NA,NA,NA,1,NA,0,NA,29.84513021,NA,3.396021684,0,0,NA,NA,NA,NA
2021,11,105,control,NA,9.5,4,1,1,0,0,29.84513021,49.48008429,3.396021684,3.901570251,0,0,NA,NA,NA,V
2022,11,105,control,NA,9,7,1,1,0,0,49.48008429,47.1238898,3.901570251,3.852780087,0,0,NA,NA,NA,V
2023,11,105,control,NA,10,6,1,NA,0,NA,47.1238898,NA,3.852780087,NA,0,NA,NA,NA,NA,V
